region,roi,sens_SCC,se_sens_SCC,sens_SPM,se_sens_SPM,p_sens,sig_sens,spec_SCC,se_spec_SCC,spec_SPM,se_spec_SPM,p_spec,sig_spec,ppv_SCC,se_ppv_SCC,ppv_SPM,se_ppv_SPM,p_ppv,sig_ppv,npv_SCC,se_npv_SCC,npv_SPM,se_npv_SPM,p_npv,sig_npv,lrpos_SCC,se_lrpos_SCC,lrpos_SPM,se_lrpos_SPM,p_lrpos,sig_lrpos,lrneg_SCC,se_lrneg_SCC,lrneg_SPM,se_lrneg_SPM,p_lrneg,sig_lrneg
w32,1,100,0,35.88,2.55,0,***,44.87,0.1,68.85,0.09,NA,,0.27,0.01,0.16999999999999998,0.02,2.2941581967472757e-10,***,100,0,99.86,0.01,0,***,1.81,0,1.15,0.08,2.2941581967472757e-10,***,0,0,0.93,0.04,NA,
w32,4,100,0,40.11,2.6,0,***,44.87,0.1,69.06,0.09,NA,,0.27,0.01,0.19,0.02,4.216659303946102e-7,***,100,0,99.87,0.01,0,***,1.81,0,1.3,0.08,4.216659303946102e-7,***,0,0,0.87,0.04,NA,
w32,8,100,0,50.849999999999994,2.6599999999999997,0,***,44.87,0.1,68.74,0.1,NA,,0.27,0.01,0.24,0.02,0.07392406189944478,,100,0,99.89,0.01,0,***,1.81,0,1.63,0.09,0.07392406189944478,,0,0,0.72,0.04,NA,
w214,1,99.03,0.08,44.01,0.42,0,***,47.38,0.1,70.37,0.09,NA,,9.950000000000001,0.08,8.02,0.1,0,***,99.88,0.01,95.54,0.05,0,***,1.88,0,1.49,0.02,0,***,0.02,0,0.8,0.01,0,***
w214,4,99.03,0.08,62.3,0.41000000000000003,0,***,47.38,0.1,70.12,0.09,NA,,9.950000000000001,0.08,10.91,0.11,0,***,99.88,0.01,96.94,0.04,0,***,1.88,0,2.08,0.02,0,***,0.02,0,0.54,0.01,0,***
w214,8,99.03,0.08,81.73,0.33,0,***,47.38,0.1,69.54,0.1,NA,,9.950000000000001,0.08,13.62,0.12,0,***,99.88,0.01,98.48,0.03,0,***,1.88,0,2.68,0.01,0,***,0.02,0,0.26,0,0,***
w271,1,99.3,0.06,47.28,0.36,0,***,48.53,0.1,70.74000000000001,0.1,NA,,14.02,0.09,12.01,0.12,0,***,99.88,0.01,94.08,0.06,0,***,1.93,0,1.62,0.01,0,***,0.01,0,0.75,0.01,0,***
w271,4,99.3,0.06,63.54,0.35000000000000003,0,***,48.53,0.1,70.58,0.1,NA,,14.02,0.09,15.43,0.13,0,***,99.88,0.01,95.82000000000001,0.05,0,***,1.93,0,2.16,0.01,0,***,0.01,0,0.52,0,0,***
w271,8,99.3,0.06,84.14,0.26,0,***,48.53,0.1,69.45,0.1,NA,,14.02,0.09,18.88,0.13,0,***,99.88,0.01,98.11,0.03,0,***,1.93,0,2.75,0.01,0,***,0.01,0,0.23,0,0,***
roiAD,1,99.56,0.08,50.03999999999999,0.6,0,***,46.089999999999996,0.1,71.28999999999999,0.09,NA,,5.07,0.06,4.8,0.08,4.790976282809112e-6,***,99.97,0.01,98.00999999999999,0.03,0,***,1.85,0,1.74,0.02,4.790976282809112e-6,***,0.01,0,0.7,0.01,0,***
roiAD,4,99.56,0.08,65.23,0.5700000000000001,0,***,46.089999999999996,0.1,73.24000000000001,0.09,NA,,5.07,0.06,6.58,0.09,0,***,99.97,0.01,98.65,0.03,0,***,1.85,0,2.44,0.02,0,***,0.01,0,0.47,0.01,0,***
roiAD,8,99.56,0.08,82.67999999999999,0.44999999999999996,0,***,46.089999999999996,0.1,74.11999999999999,0.09,NA,,5.07,0.06,8.450000000000001,0.11,0,***,99.97,0.01,99.33,0.02,0,***,1.85,0,3.19,0.02,0,***,0.01,0,0.23,0.01,0,***
