"method","region","roi","sensMEAN","sensSD","espMEAN","espSD","ppvMEAN","ppvSD","npvMEAN","npvSD"
"SCC","ROI 4","10",99.978619818201,0.0114221234469112,63.5600555882792,0.940707728182812,91.7223304211002,0.956438508160175,99.8604860486049,0.0806112558513511
"SCC","ROI 4","40",99.978619818201,0.0114221234469112,63.5600555882792,0.940707728182812,91.7223304211002,0.956438508160175,99.8604860486049,0.0806112558513511
"SCC","ROI 4","80",99.978619818201,0.0114221234469112,63.5600555882792,0.940707728182812,91.7223304211002,0.956438508160175,99.8604860486049,0.0806112558513511
"SCC","ROI 2","10",99.8831430989985,0.0607936559175793,53.2427448495827,0.241386972779803,79.9703874386972,1.42414030466563,99.5787578757876,0.247227953963602
"SCC","ROI 2","40",99.8831430989985,0.0607936559175793,53.2427448495827,0.241386972779803,79.9703874386972,1.42414030466563,99.5787578757876,0.247227953963602
"SCC","ROI 2","80",99.8831430989985,0.0607936559175793,53.2427448495827,0.241386972779803,79.9703874386972,1.42414030466563,99.5787578757876,0.247227953963602
"SCC","ROI 3","10",99.8881579062505,0.0529969740648661,55.4304883934275,0.278223305499249,84.5130776234545,1.28356761483177,99.4941494149415,0.275757402744897
"SCC","ROI 3","40",99.8881579062505,0.0529969740648661,55.4304883934275,0.278223305499249,84.5130776234545,1.28356761483177,99.4941494149415,0.275757402744897
"SCC","ROI 3","80",99.8881579062505,0.0529969740648661,55.4304883934275,0.278223305499249,84.5130776234545,1.28356761483177,99.4941494149415,0.275757402744897
"SCC","ROI 1","10",99.9972801034668,0.00921515493046673,46.7912804211037,0.117285956093215,38.2797823596992,2.77968169571493,99.9981248124813,0.0063530569596438
"SCC","ROI 1","40",99.9972801034668,0.00921515493046673,46.7912804211037,0.117285956093215,38.2797823596992,2.77968169571493,99.9981248124813,0.0063530569596438
"SCC","ROI 1","80",99.9972801034668,0.00921515493046673,46.7912804211037,0.117285956093215,38.2797823596992,2.77968169571493,99.9981248124813,0.0063530569596438
"SPM","ROI 4","10",71.3289466315798,37.7373801407902,80.1704386906775,12.9638922900594,80.5725228048991,22.7113559801943,82.9483526609332,11.6058282524451
"SPM","ROI 4","40",77.0148077202623,30.1540022290127,82.0681350230843,12.5581231341567,89.087046114284,11.2177670361448,82.8485315893291,10.9865458217284
"SPM","ROI 4","80",84.9800118251787,17.8561111927383,83.1929005871927,12.5818342517542,93.9844061459997,2.03140715770425,83.2362235862837,10.2805551914793
"SPM","ROI 2","10",69.3782220559877,40.3399805540145,73.710007164855,17.586999933611,62.3572713270802,28.9907427877622,90.4513696413763,6.08742815568313
"SPM","ROI 2","40",86.7528544606817,20.3293320793082,74.6121673453114,17.2563264786631,84.2336242454142,5.87498109042035,93.0331406439327,5.7032059000745
"SPM","ROI 2","80",95.1968926111798,9.2547378317352,75.1312308590793,17.4445370034345,87.6833855130303,7.41280652515404,95.4504706252892,4.36218837543322
"SPM","ROI 3","10",69.4516273216465,41.316597182583,74.8441555450184,16.5679875554365,66.077398432661,31.3281376657899,88.8839900801403,7.51422395183296
"SPM","ROI 3","40",86.5471798869447,21.7771153692089,76.1740519138712,16.297143877219,88.0402379378173,4.55262256052634,92.1603205437748,7.33521484383653
"SPM","ROI 3","80",96.8856991142917,5.996454685329,76.5990434086154,16.5576313159967,90.9704697062347,5.95735978500209,95.5088087739027,4.96126470137318
"SPM","ROI 1","10",66.1179787029898,43.5381992304278,69.8909053551415,20.1732610320466,26.2181156259968,16.7906904469194,97.7355944544186,2.04640837316891
"SPM","ROI 1","40",66.60054886063,43.4610110870543,70.1292430259612,20.2603974687907,26.850462236919,16.8806761703739,97.7632702383561,2.05321973909508
"SPM","ROI 1","80",67.6683944291541,43.8948763831646,69.8989315089321,20.4426128337335,28.0197109890901,17.3075167080444,97.9567918739814,2.06738198694567
