method,region,roi,sensitivity,specificity,PPV,NPV,subject
SCC,ROI 1,10,100,46.72975814931651,35.89776034417309,100,C1
SCC,ROI 1,10,100,46.77402378696979,37.320277640059494,100,C10
SCC,ROI 1,10,100,46.59257706018033,36.51545363908275,100,C11
SCC,ROI 1,10,100,46.818373367045936,39.44337811900192,100,C12
SCC,ROI 1,10,100,47.046368833368625,42.03268049600186,100,C13
SCC,ROI 1,10,100,47.01153073098487,44.176975370556114,100,C14
SCC,ROI 1,10,100,46.86280712854582,36.45649432534678,100,C15
SCC,ROI 1,10,100,46.74450404964763,35.65891472868217,100,C16
SCC,ROI 1,10,100,46.670867464818315,35.98890709693684,100,C18
SCC,ROI 1,10,100,46.79372433400021,35.851212390504,100,C19
SCC,ROI 1,10,100,46.73467241560626,34.552267734849465,100,C2
SCC,ROI 1,10,100,46.754339821146765,38.19003419638495,100,C20
SCC,ROI 1,10,100,46.67576935195883,36.210579218494786,100,C21
SCC,ROI 1,10,100,46.91722972972973,42.668187001140254,100,C22
SCC,ROI 1,10,100,46.9023746701847,40.79086736495234,100,C23
SCC,ROI 1,10,100,46.5779268420501,33.84815055158988,100,C24
SCC,ROI 1,10,100,46.808510638297875,38.24140882964412,100,C25
SCC,ROI 1,10,100,46.95192815636556,42.087658592848904,100,C3
SCC,ROI 1,10,100,46.87269275392891,42.38819627130276,100,C4
SCC,ROI 1,10,100,46.75925925925926,39.09484833895041,100,C5
SCC,ROI 1,10,99.96712689020382,46.76349857909693,37.54784541301395,99.97749774977498,C6
SCC,ROI 1,10,100,46.74450404964763,38.135386119257085,100,C7
SCC,ROI 1,10,99.96759559300064,46.78319469306096,37.90391940041774,99.97749774977498,C8
SCC,ROI 1,10,100,46.700294241277845,37.7133734495886,100,C9
SPM,ROI 1,10,99.8939929328622,51.650893796004205,38.07407407407408,99.93896236012208,C1
SPM,ROI 1,10,93.11187103077675,61.98294916324597,34.54150054367525,97.66169154228857,C10
SPM,ROI 1,10,100,52.715453973579365,39.38172043010753,100,C11
SPM,ROI 1,10,0,97.2187104930468,0,95.57742102537546,C12
SPM,ROI 1,10,0,95.68071141223798,0,95.02681106087688,C13
SPM,ROI 1,10,0,97.08029197080292,0,95.1674790003111,C14
SPM,ROI 1,10,98.30443159922928,55.32004639881893,37.58102533883323,99.16824196597354,C15
SPM,ROI 1,10,96.20196604110814,59.37730093615231,35.793848711554446,98.51657940663176,C16
SPM,ROI 1,10,100,48.246166771686624,36.6825131697289,100,C18
SPM,ROI 1,10,97.2994760177348,58.94492997788775,38.238555361951526,98.81729920564872,C19
