region,roi,p_sens,sig_sens,p_esp,sig_esp,p_ppv,sig_ppv,p_npv,sig_npv
ROI 1,10,8.957168014990977e-4,***,9.790594928107539e-6,***,0.004716972495839369,**,1.670824148537819e-5,***
ROI 1,40,0.0010074614201232707,**,9.024607131317164e-6,***,0.00695790871081592,**,2.0535676905634744e-5,***
ROI 1,80,0.0014799205641176276,**,1.1684709909920496e-05,***,0.01595419288405615,*,6.980704949755912e-5,***
ROI 2,10,9.095255930989186e-4,***,4.98075645901796e-6,***,0.006653444991966621,**,6.869215401858664e-8,***
ROI 2,40,0.0035558310950215533,**,1.981085951525405e-6,***,4.6032720306146685e-4,***,4.693763405011821e-6,***
ROI 2,80,0.017934618758360263,*,1.6254036475189995e-6,***,3.5730081772505094e-6,***,5.520746652760416e-5,***
ROI 3,10,0.0011622297228161052,**,4.271302310785222e-6,***,0.008287644648761684,**,1.9386467617187282e-7,***
ROI 3,40,0.005314400926779026,**,1.225275455315013e-6,***,1.954531967330459e-4,***,3.2162381931558714e-5,***
ROI 3,80,0.019057891284880602,*,1.145911665808262e-6,***,1.2232853910544636e-6,***,3.711267386530186e-4,***
ROI 4,10,8.810196472144056e-4,***,7.783488477468169e-7,***,0.024372306753765532,*,1.527394301656788e-7,***
ROI 4,40,8.552218092130643e-4,***,7.718076907198968e-8,***,0.2620056418618435,,5.3906773461160766e-8,***
ROI 4,80,3.1760455069732176e-4,***,2.9657124192263888e-8,***,5.704346048073659e-8,***,2.5207005910123373e-8,***
